组编号	|	编号	|	编号颜色	|	用药建议	|	用药建议颜色	|	建议详细
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
136	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffff00	|		|		|	
137	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险高。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
138	|	对乙酰氨基酚1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险低。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
139	|	对乙酰氨基酚1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
140	|	对乙酰氨基酚1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险中等。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffffff	|		|		|	
141	|	对乙酰氨基酚1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
142	|	对乙酰氨基酚1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险中等。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
143	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较高。综上，请遵医嘱减少用量。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
144	|	对乙酰氨基酚1-3	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险中等。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
145	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较高。综上，请遵医嘱减少用量。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
146	|	对乙酰氨基酚1-3	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于弱代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险高。综上，请遵医嘱减少用量。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
147	|	对乙酰氨基酚1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险低。综上，可正常使用。
	|	对乙酰氨基酚2-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
148	|	对乙酰氨基酚1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
149	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-1	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
150	|	对乙酰氨基酚1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
151	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-1	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffff00	|		|		|	
152	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-1	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
153	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-1	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
154	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-1	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffff00	|		|		|	
155	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有高肝毒性风险。其他毒副作用风险高。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-1	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
156	|	对乙酰氨基酚1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险低。综上，可正常使用。
	|	对乙酰氨基酚2-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
157	|	对乙酰氨基酚1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
158	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
159	|	对乙酰氨基酚1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
160	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffff00	|		|		|	
161	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
162	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险中等。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
163	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险较高。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffff00	|		|		|	
164	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示过量使用对乙酰氨基酚会有较高肝毒性风险。其他毒副作用风险高。综上，请遵医嘱减少用用量。
	|	对乙酰氨基酚2-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
165	|	对乙酰氨基酚1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险低。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
166	|	对乙酰氨基酚1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
167	|	对乙酰氨基酚1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险中等。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-1	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffffff	|		|		|	
168	|	对乙酰氨基酚1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较低。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
169	|	对乙酰氨基酚1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险中等。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffffff	|		|		|	
170	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较高。综上，请遵医嘱减少用量。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-2	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
171	|	对乙酰氨基酚1-4	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险中等。综上，可正常使用。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚4-1	|	#ffffff	|		|		|	
172	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险较高。综上，请遵医嘱减少用量。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-2	|	#ffff00	|		|		|	
173	|	对乙酰氨基酚1-4	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果提示，您孩子<style italic="true">CYP2D6</style>属于中间代谢型，对乙酰氨基酚代谢慢，肝毒性风险低。<style italic="true">UGT1A</style>基因型提示肝毒性风险较低。其他毒副作用风险高。综上，请遵医嘱减少用量。
	|	对乙酰氨基酚2-3	|	#ffffff	|		|		|	
	|	对乙酰氨基酚3-3	|	#ffff00	|		|		|	
	|	对乙酰氨基酚4-3	|	#ffff00	|		|		|	
174	|	双氯芬酸钠1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为正常代谢型，双氯芬酸钠代谢正常副作用低；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险低。提示可正常使用。
	|	双氯芬酸钠2-1	|	#ffffff	|		|		|	
	|	双氯芬酸钠3-1	|	#ffffff	|		|		|	
175	|	双氯芬酸钠1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为正常代谢型，双氯芬酸钠代谢正常副作用低；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险较低。提示可正常使用。
	|	双氯芬酸钠2-1	|	#ffffff	|		|		|	
	|	双氯芬酸钠3-2	|	#ffffff	|		|		|	
176	|	双氯芬酸钠1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为正常代谢型，双氯芬酸钠代谢正常副作用低；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险中等。提示可正常使用。
	|	双氯芬酸钠2-1	|	#ffffff	|		|		|	
	|	双氯芬酸钠3-3	|	#ffffff	|		|		|	
177	|	双氯芬酸钠1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为正常代谢型，双氯芬酸钠代谢正常副作用低；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险较低。提示可正常使用。
	|	双氯芬酸钠2-2	|	#ffffff	|		|		|	
	|	双氯芬酸钠3-1	|	#ffffff	|		|		|	
178	|	双氯芬酸钠1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为正常代谢型，双氯芬酸钠代谢正常副作用低；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险中等。提示可正常使用。
	|	双氯芬酸钠2-2	|	#ffffff	|		|		|	
	|	双氯芬酸钠3-2	|	#ffffff	|		|		|	
179	|	双氯芬酸钠1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为正常代谢型，双氯芬酸钠代谢正常副作用低；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险较高。请遵医嘱减少用药剂量。
	|	双氯芬酸钠2-2	|	#ffff00	|		|		|	
	|	双氯芬酸钠3-3	|	#ffff00	|		|		|	
180	|	双氯芬酸钠1-1	|	#ffffff	|	正常使用	|	#ffffff	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为正常代谢型，双氯芬酸钠代谢正常副作用低；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险中等。提示可正常使用。
	|	双氯芬酸钠2-3	|	#ffffff	|		|		|	
	|	双氯芬酸钠3-1	|	#ffffff	|		|		|	
181	|	双氯芬酸钠1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为正常代谢型，双氯芬酸钠代谢正常副作用低；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险较高。请遵医嘱减少用药剂量。
	|	双氯芬酸钠2-3	|	#ffff00	|		|		|	
	|	双氯芬酸钠3-2	|	#ffff00	|		|		|	
182	|	双氯芬酸钠1-1	|	#ffffff	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为正常代谢型，双氯芬酸钠代谢正常副作用低；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险高。请遵医嘱减少用药剂量。
	|	双氯芬酸钠2-3	|	#ffff00	|		|		|	
	|	双氯芬酸钠3-3	|	#ffff00	|		|		|	
183	|	双氯芬酸钠1-2	|	#ffff00	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为弱代谢型，双氯芬酸钠代谢慢，副作用风险高；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险低。请遵医嘱减少用药剂量。
	|	双氯芬酸钠2-1	|	#ffffff	|		|		|	
	|	双氯芬酸钠3-1	|	#ffffff	|		|		|	
184	|	双氯芬酸钠1-2	|	#ffff00	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为弱代谢型，双氯芬酸钠代谢慢，副作用风险高；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险较低。请遵医嘱减少用药剂量。
	|	双氯芬酸钠2-1	|	#ffffff	|		|		|	
	|	双氯芬酸钠3-2	|	#ffff00	|		|		|	
185	|	双氯芬酸钠1-2	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为弱代谢型，双氯芬酸钠代谢慢，副作用风险高；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险中等。请慎用。
	|	双氯芬酸钠2-1	|	#ffffff	|		|		|	
	|	双氯芬酸钠3-3	|	#ff0000	|		|		|	
186	|	双氯芬酸钠1-2	|	#ffff00	|	减少用药剂量	|	#ffff00	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为弱代谢型，双氯芬酸钠代谢慢，副作用风险高；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险较低。请遵医嘱减少用药剂量。
	|	双氯芬酸钠2-2	|	#ffff00	|		|		|	
	|	双氯芬酸钠3-1	|	#ffffff	|		|		|	
187	|	双氯芬酸钠1-2	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为弱代谢型，双氯芬酸钠代谢慢，副作用风险高；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险中等。请慎用。
	|	双氯芬酸钠2-2	|	#ff0000	|		|		|	
	|	双氯芬酸钠3-2	|	#ff0000	|		|		|	
188	|	双氯芬酸钠1-2	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为弱代谢型，双氯芬酸钠代谢慢，副作用风险高；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险较高。请慎用。
	|	双氯芬酸钠2-2	|	#ff0000	|		|		|	
	|	双氯芬酸钠3-3	|	#ff0000	|		|		|	
189	|	双氯芬酸钠1-2	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为弱代谢型，双氯芬酸钠代谢慢，副作用风险高；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险中等。请慎用。
	|	双氯芬酸钠2-3	|	#ff0000	|		|		|	
	|	双氯芬酸钠3-1	|	#ffffff	|		|		|	
190	|	双氯芬酸钠1-2	|	#ff0000	|	慎用	|	#ff0000	|	检测结果，您的孩子<style italic="true">CYP2C9</style>为弱代谢型，双氯芬酸钠代谢慢，副作用风险高；<style italic="true">PLA2G4A</style>和<style italic="true">TNFRSF11A</style>基因多态引起的毒副作用风险较高。请慎用。
	|	双氯芬酸钠2-3	|	#ff0000	|		|		|	
	|	双氯芬酸钠3-2	|	#ff0000	|		|		|	
